Nutrient_Group_EN,Nutrient_Group_FR,Nutrient_Code,Nutrient_Symbol,Nutrient_Name_EN,Nutrient_Name_FR,Nutrient unit,Display order for web tool (do not publish this info),Nutrient (unit)_EN,Nutrient (unit)_FR
Lipids,Acides gras (lipides),613,16:00,"Fatty acids, saturated, 16:0, hexadecanoic","acides gras saturés 16:0, hexadécanoïque",g,95,16:0 (g),16:0 (g)
Lipids,Acides gras (lipides),614,18:00,"Fatty acids, saturated, 18:0, octadecanoic","acides gras saturés 18:0, octadécanoïque",g,97,18:0 (g),18:0 (g)
Lipids,Acides gras (lipides),615,20:00,"Fatty acids, saturated, 20:0, eicosanoic","acides gras saturés 20:0, eïcosanoïque",g,98,20:0 (g),20:0 (g)
Lipids,Acides gras (lipides),617,18:1undiff,"Fatty acids, monounsaturated, 18:1undifferentiated, octadecenoic","acides gras monoinsaturés, 18:1non différencié, octadécénoïque",g,108,18:1undiff (g),18:1non différencié (g)
Lipids,Acides gras (lipides),618,18:2undiff,"Fatty acids, polyunsaturated, 18:2undifferentiated, linoleic, octadecadienoic","acides gras polyinsaturés, 18:2non différencié, linoléique, octadécadiénoïque",g,124,18:2undiff (g),18:2non différencié (g)
Lipids,Acides gras (lipides),619,18:3undiff,"Fatty acids, polyunsaturated, 18:3undifferentiated, linolenic, octadecatrienoic","acides gras polyinsaturés, 18:3non différencié, linolénique, octadécatriénoïque",g,130,18:3undiff (g),18:3non différencié (g)
Lipids,Acides gras (lipides),620,20:4undiff,"Fatty acids, polyunsaturated, 20:4, eicosatetraenoic","acides gras polyinsaturés, 20:4, arachidonique eïcosatétraénoïque",g,138,20:4 (g),20:4 (g)
Lipids,Acides gras (lipides),621,22:6n-3DHA,"Fatty acids, polyunsaturated, 22:6 n-3, docosahexaenoic (DHA)","acides gras polyinsaturés,  22:6 n-3, docosahexaénoïque (DHA)",g,147,22:6 n-3 (DHA) (g),22:6 n-3 (DHA) (g)
Lipids,Acides gras (lipides),624,22:00,"Fatty acids, saturated, 22:0, docosanoic","acides gras saturés, 22:0, docosanoïque",g,99,22:0 (g),22:0 (g)
Lipids,Acides gras (lipides),625,14:01,"Fatty acids, monounsaturated, 14:1, tetradecenoic","acides gras monoinsaturés, 14:1, tétradécénoïque",g,103,14:1 (g),14:1 (g)
Lipids,Acides gras (lipides),626,16:1undiff,"Fatty acids, monounsaturated, 16:1undifferentiated, hexadecenoic","acides gras monoinsaturés, 16:1non différencié, hexadécénoïque",g,105,16:1undiff (g),16:1non différencié (g)
Lipids,Acides gras (lipides),627,18:04,"Fatty acids, polyunsaturated, 18:4, octadecatetraenoic","acides gras polyinsaturés, 18:4, octadécatétraénoïque",g,133,18:4 (g),18:4 (g)
Lipids,Acides gras (lipides),628,20:01,"Fatty acids, monounsaturated, 20:1, eicosenoic","acides gras monoinsaturés, 20:1, eïcosénoïque",g,117,20:1 (g),20:1 (g)
Lipids,Acides gras (lipides),629,20:5n-3EPA,"Fatty acids, polyunsaturated, 20:5 n-3, eicosapentaenoic (EPA)","acides gras polyinsaturés, 20:5 n-3, eïcosapentaénoïque (EPA)",g,140,20:5 n-3 (EPA) (g),20:5 n-3 (EPA) (g)
Lipids,Acides gras (lipides),630,22:1undiff,"Fatty acids, monounsaturated, 22:1undifferentiated, docosenoic","acides gras monoinsaturés, 22:1non différencié, docosénoïque",g,119,22:1undiff (g),22:1non différencié (g)
Lipids,Acides gras (lipides),631,22:5n-3DPA,"Fatty acids, polyunsaturated, 22:5 n-3, docosapentaenoic (DPA)","acides gras polyinsaturés, 22:5 n-3, docosapentaénoïque (DPA)",g,145,22:5 n-3 (DPA) (g),22:5 n-3 (DPA) (g)
Lipids,Acides gras (lipides),636,TPST,Total plant sterol,stérols végétaux totaux,mg,166,Total plant sterol (mg),Stérols végétaux totaux (mg)
Lipids,Acides gras (lipides),638,STIG,Stigmasterol,stigmastérol,mg,167,Stigmasterol (mg),Stigmastérol (mg)
Lipids,Acides gras (lipides),639,CAMSTR,Campesterol,campéstérol,mg,168,Campesterol (mg),Campéstérol (mg)
Lipids,Acides gras (lipides),641,SITSTR,Beta-sitosterol,bêta-sitostérol,mg,169,Beta-sitosterol (mg),Bêta-sitostérol (mg)
Lipids,Acides gras (lipides),645,MUFA,"Fatty acids, monounsaturated, total",acides gras monoinsaturés totaux,g,101,"Monounsaturated Fatty Acids, Total (g)",Acides gras monoinsaturés totaux (g)
Lipids,Acides gras (lipides),646,PUFA,"Fatty acids, polyunsaturated, total",acides gras polyinsaturés totaux,g,123,"Polyunsaturated Fatty Acids,Total (g)",Acides gras polyinsaturés totaux (g)
Lipids,Acides gras (lipides),652,15:00,"Fatty acids, saturated, 15:0, pentadecanoic","acides gras saturés, 15:0, pentadécanoïque",g,94,15:0 (g),15:0 (g)
Lipids,Acides gras (lipides),653,17:00,"Fatty acids, saturated, 17:0, heptadecanoic","acides gras saturés, 17:0, heptadécanoïque",g,96,17:0 (g),17:0 (g)
Lipids,Acides gras (lipides),654,24:00:00,"Fatty acids, saturated, 24:0, tetracosanoic","acides gras saturés, 24:0, tétrasanoïque",g,100,24:0 (g),24:0 (g)
